Domain,Career,Interest_Score,Realistic,Investigative,Artistic,Social,Enterprising,Conventional
Management & Marketing,Health & Safety Officer,0.5,0.0,0.0,0.0,1.5,0.5,1.0
Management & Marketing,Sales Executive,0.5,0.0,0.0,0.0,1.0,1.5,0.5
Management & Marketing,Counter sales Executives,0.5,0.0,0.0,0.0,0.5,1.5,1.0
Management & Marketing,Sales Manager,0.5,0.0,0.0,0.5,0.5,2.0,0.0
Management & Marketing,Project Manager,0.5,0.0,0.5,0.0,0.5,0.5,1.5
Management & Marketing,IT Manager,0.5,0.0,0.5,0.0,1.0,1.5,0.0
Management & Marketing,Brand Manager,0.5,0.0,0.5,1.5,0.0,1.0,0.0
Management & Marketing,Communications officer,0.5,0.0,0.0,0.5,1.0,1.5,0.0
Management & Marketing,Social Media Manager,0.5,0.0,0.0,1.5,0.5,1.0,0.0
Management & Marketing,Executive - Event Management,0.5,0.0,0.0,1.0,0.0,1.5,0.5
Management & Marketing,Armed Security Guard,0.5,2.0,0.0,0.0,0.0,0.0,1.0
Management & Marketing,Security Supervisor,0.5,0.0,0.0,0.0,1.0,1.5,0.5
Management & Marketing,Facilities/Operations Manager,0.5,0.0,0.0,0.0,1.0,1.5,0.5
Management & Marketing,Receptionist/Front Office Executive,0.5,0.0,0.0,0.0,1.5,0.5,1.0
Media & Entertainment,Anchor,0.5,0.0,0.0,1.5,0.5,1.0,0.0
Media & Entertainment,News Reader,0.5,0.0,0.0,1.0,0.5,0.0,1.5
Media & Entertainment,Journalist,0.5,0.0,1.5,1.0,0.5,0.0,0.0
Media & Entertainment,Editor,0.5,0.0,0.0,0.5,1.0,1.5,0.0
Media & Entertainment,Radio Jockey,0.5,0.0,0.0,2.0,1.0,0.0,0.0
Media & Entertainment,"Writer - Fiction, Creative",0.5,0.0,0.0,2.5,0.5,0.0,0.0
Media & Entertainment,Ad Copywriter,0.5,0.0,0.0,1.5,1.0,0.5,0.0
Media & Entertainment,Modeling,0.5,1.0,0.0,1.5,0.0,0.5,0.0
Media & Entertainment,Music Director,0.5,0.0,0.0,2.0,0.0,1.0,0.0
Media & Entertainment,Cartoonist,0.5,0.0,0.0,2.0,0.0,1.0,0.0
Media & Entertainment,Film Director,0.5,0.0,0.0,2.0,0.0,1.0,0.0
Media & Entertainment,Film Animator,0.5,0.0,0.5,1.5,0.0,1.0,0.0
Media & Entertainment,Actor (Film & Stage),0.5,0.0,0.0,1.5,0.0,1.0,0.5
Public Administration ,Indian Admin Service Officer,0.5,0.0,0.0,0.0,0.5,1.5,1.0
Public Administration ,Indian Police Service Officer,0.5833333333333334,0.0,0.0,0.0,0.5,2.0,1.0
Public Administration ,Other All India Services,0.5,0.0,0.5,0.0,0.0,1.5,1.0
Public Administration ,Deputy Collector,0.5,0.0,0.0,0.0,0.5,1.5,1.0
Public Administration ,Municipal Commissioner,0.5,0.0,0.0,0.0,0.5,1.5,1.0
Public Administration ,Asisstant Supdt. of Police,0.5,0.0,0.0,0.0,0.5,1.5,1.0
Public Administration ,Assistant Prohibition and Excise Superintendent,0.5833333333333334,0.0,0.0,0.0,0.5,2.0,1.0
Public Administration ,Group 1 Officers in various departments,0.5,0.0,0.5,0.0,0.0,1.5,1.0
Public Administration ,Commericial Tax Officer,0.5,0.0,1.0,0.0,0.0,1.0,1.0
Public Administration ,Deputy Tehsildar,0.5,0.0,0.0,0.0,1.0,1.0,1.0
Public Administration ,Prohibition & Excise Sub Inspector,0.5,0.0,0.0,0.0,1.0,1.0,1.0
Public Administration ,Group 2 Officers in Various Departments,0.5,0.0,1.0,0.0,1.0,0.0,1.0
Public Administration ,Senior Assistants in Various Departments,0.5,0.0,1.0,0.0,1.0,0.0,1.0
Public Administration ,Panchayat Secretary,0.5,0.0,0.0,0.0,1.0,1.0,1.0
Public Administration ,Group 4 Employees,0.5,1.0,0.0,0.0,1.0,0.0,1.0
Public Administration ,SI,0.5,0.0,0.0,0.0,0.5,1.5,1.0
Public Administration ,Police Constable,0.5,1.0,0.0,0.0,1.5,0.0,0.5
Public Administration ,Engineer - Railways,0.5,0.5,1.0,0.0,0.0,1.5,0.0
Public Administration ,Station Master-Railway,0.5,0.0,0.0,0.0,1.0,1.5,0.5
Public Administration ,Ticket Collector-Railway,0.5,0.0,0.0,0.0,2.0,0.0,1.0
Public Administration ,Railway Constable,0.5,1.0,0.0,0.0,1.5,0.0,0.5
Public Administration ,Assistant Executive Engineer - Various Departments,0.5,0.5,1.0,0.0,0.0,1.5,0.0
Public Administration ,Deputy Surgeon,0.5,1.0,1.5,0.0,0.5,0.0,0.0
Public Administration ,Postal Assistant,0.5,0.0,0.0,0.0,1.0,1.0,1.0
Public Administration ,Postman,0.5,0.5,0.0,0.0,2.0,0.0,0.5
Public Administration ,Mail Guard,0.5,1.5,0.0,0.0,1.0,0.0,0.5
"Retail, Tourism and Hospitality",Chef,0.5,1.5,0.0,1.0,0.0,0.5,0.0
"Retail, Tourism and Hospitality",Hotel Manager,0.5,0.0,0.0,0.0,1.5,1.0,0.5
"Retail, Tourism and Hospitality",Flight Attendants and Travel Stewards,0.5,1.0,0.0,0.0,1.5,0.0,0.5
"Retail, Tourism and Hospitality",Food & Beverage Service Steward,0.5,1.0,0.0,0.0,1.5,0.0,0.5
"Retail, Tourism and Hospitality",Housekeeping Supervisor,0.5,0.5,0.0,0.0,1.5,1.0,0.0
"Retail, Tourism and Hospitality",Manager Lodging and Catering Services,0.5,0.0,0.0,0.0,1.5,1.0,0.5
"Retail, Tourism and Hospitality",Tourist Guide,0.5,0.0,0.0,2.0,1.0,0.0,0.0
"Retail, Tourism and Hospitality",Adventure Guide,0.5,1.0,0.0,0.0,1.5,0.5,0.0
"Retail, Tourism and Hospitality",Travel Consultant,0.5,0.0,0.0,0.0,1.5,1.0,0.5
"Retail, Tourism and Hospitality",Interpreters & Translators,0.5,0.0,0.0,2.0,1.0,0.0,0.0
"Retail, Tourism and Hospitality",Medical Sales Representative,0.5,0.0,0.0,0.0,1.0,1.5,0.5
Self Employment,Software consultants,0.5,0.0,1.0,0.5,0.0,1.5,0.0
Self Employment,Beautician,0.5,1.0,0.0,1.0,0.0,1.0,0.0
Self Employment,Mobile & Electronic  Service Sales and Repair,0.5,1.5,0.0,0.0,0.0,1.0,0.5
Self Employment,Photo and Video Studio,0.5,1.5,0.0,0.5,0.0,1.0,0.0
Self Employment,Electrician,0.5,1.5,0.0,0.0,0.0,1.0,0.5
Self Employment,Offset Printing & Binding,0.5,1.5,0.0,0.0,0.0,1.0,0.5
Self Employment,Taxi Owner,0.5,2.0,0.0,0.0,0.0,1.0,0.0
Self Employment,Computer / Xerox Centre,0.5,1.5,0.0,0.0,0.0,1.0,0.5
Self Employment,Rural Transport Service,0.5,1.0,0.0,0.0,0.0,2.0,0.0
"Transportation, Logistics,","Engineer, Merchant Navy",0.5,1.5,0.5,0.0,0.0,1.0,0.0
"Transportation, Logistics,",Naval Technician,0.5,1.5,0.5,0.0,0.0,1.0,0.0
"Transportation, Logistics,","Officer, Merchant Navy",0.5,0.5,0.0,0.0,0.0,2.0,0.5
"Transportation, Logistics,",warehouse Supervisor,0.5,1.0,0.0,0.0,0.0,1.5,0.5
"Transportation, Logistics,",Automative service Technician,0.5,1.5,0.5,0.0,0.0,1.0,0.0
"Transportation, Logistics,",Commercial Pilot,0.5,1.5,1.0,0.0,0.0,0.0,0.5
"Transportation, Logistics,",Airline Cabin Crew,0.5,1.0,0.0,0.0,1.5,0.0,0.5
"Transportation, Logistics,",Avionics Technician,0.5,1.5,1.0,0.0,0.0,0.0,0.5
"Transportation, Logistics,",Aircraft Engine Mechanic,0.5,1.5,1.0,0.0,0.0,0.0,0.5
"Transportation, Logistics,",Avionics Engineer,0.5,1.5,1.0,0.0,0.0,0.5,0.0
"Transportation, Logistics,",Aviation Engineer,0.5,1.5,1.0,0.5,0.0,0.0,0.0
"Transportation, Logistics,",Aerospace Engineer,0.5,1.5,1.0,0.5,0.0,0.0,0.0
"Transportation, Logistics,",Commercial Vehicle Driver,0.5,2.0,0.0,0.0,0.0,0.5,0.5
"Transportation, Logistics,",Air traffic controller,0.5,0.5,0.0,0.0,0.0,1.5,1.0
