Domain,Career,R,I,A,S,E,C
Public Administration ,Deputy Collector,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Municipal Commissioner,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Asisstant Supdt. of Police,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Assistant Prohibition and Excise Superintendent,0.5,0.5,0.5,1.5,1.0,1.5
Public Administration ,Group 1 Officers in various departments,1.5,1.0,0.5,1.5,1.5,1.5
Public Administration ,Commericial Tax Officer,1.5,1.0,0.5,1.5,1.5,1.5
Public Administration ,Deputy Tehsildar,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Prohibition & Excise Sub Inspector,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Group 2 Officers in Various Departments,1.5,1.0,0.5,1.5,1.5,1.5
Public Administration ,Senior Assistants in Various Departments,0.5,0.5,0.5,1.5,1.0,1.5
Public Administration ,Panchayat Secretary,0.0,0.5,0.5,1.5,1.0,2.0
Public Administration ,Group 4 Employees,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,SI,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Police Constable,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Engineer - Railways,1.5,2.0,0.5,0.5,1.0,1.5
Public Administration ,Station Master-Railway,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Ticket Collector-Railway,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Railway Constable,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Assistant Executive Engineer - Various Departments,1.5,2.0,0.5,0.5,1.0,1.5
Public Administration ,Deputy Surgeon,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Postal Assistant,0.5,0.5,0.5,1.5,1.0,1.5
Public Administration ,Postman,1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Mail Guard,1.0,1.0,1.0,1.0,1.0,1.0
"Retail, Tourism and Hospitality",Chef,1.5,0.5,1.5,1.0,1.0,0.5
"Retail, Tourism and Hospitality",Hotel Manager,0.0,1.0,0.5,1.5,2.0,1.5
"Retail, Tourism and Hospitality",Flight Attendants and Travel Stewards,1.0,1.0,1.0,1.0,1.0,1.0
"Retail, Tourism and Hospitality",Food & Beverage Service Steward,1.0,1.0,1.0,1.0,1.0,1.0
"Retail, Tourism and Hospitality",Housekeeping Supervisor,1.0,1.0,1.0,1.0,1.0,1.0
"Retail, Tourism and Hospitality",Manager Lodging and Catering Services,0.0,1.0,0.5,1.5,2.0,1.5
"Retail, Tourism and Hospitality",Tourist Guide,1.0,1.0,1.5,2.0,1.5,0.5
"Retail, Tourism and Hospitality",Adventure Guide,1.0,1.0,1.5,2.0,1.5,0.5
"Retail, Tourism and Hospitality",Travel Consultant,0.0,1.5,0.5,1.5,2.0,1.0
"Retail, Tourism and Hospitality",Interpreters & Translators,1.0,1.0,1.0,1.0,1.0,1.0
"Retail, Tourism and Hospitality",Medical Sales Representative,0.0,0.5,1.0,1.5,2.0,1.0
Self Employment,Software consultants,0.0,1.5,0.5,1.5,2.0,1.0
Self Employment,Beautician,1.0,1.0,1.0,1.0,1.0,1.0
Self Employment,Mobile & Electronic  Service Sales and Repair,0.0,0.5,1.0,1.5,2.0,1.0
Self Employment,Photo and Video Studio,1.0,1.0,1.0,1.0,1.0,1.0
Self Employment,Electrician,1.0,1.0,1.0,1.0,1.0,1.0
Self Employment,Offset Printing & Binding,1.0,1.0,1.0,1.0,1.0,1.0
Self Employment,Taxi Owner,1.0,1.0,1.0,1.0,1.0,1.0
Self Employment,Computer / Xerox Centre,1.0,1.0,1.0,1.0,1.0,1.0
Self Employment,Rural Transport Service,1.0,1.0,1.0,1.0,1.0,1.0
"Transportation, Logistics,","Engineer, Merchant Navy",1.5,2.0,0.5,0.5,1.0,1.5
"Transportation, Logistics,",Naval Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Transportation, Logistics,","Officer, Merchant Navy",1.5,1.0,0.5,1.5,1.5,1.5
"Transportation, Logistics,",warehouse Supervisor,1.0,1.0,1.0,1.0,1.0,1.0
"Transportation, Logistics,",Automative service Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Transportation, Logistics,",Commercial Pilot,1.0,1.0,1.0,1.0,1.0,1.0
"Transportation, Logistics,",Airline Cabin Crew,1.0,1.0,1.0,1.0,1.0,1.0
"Transportation, Logistics,",Avionics Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Transportation, Logistics,",Aircraft Engine Mechanic,2.0,1.0,0.5,0.5,0.5,1.0
"Transportation, Logistics,",Avionics Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Transportation, Logistics,",Aviation Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Transportation, Logistics,",Aerospace Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Transportation, Logistics,",Commercial Vehicle Driver,1.0,1.0,1.0,1.0,1.0,1.0
"Transportation, Logistics,",Air traffic controller,1.0,1.0,1.0,1.0,1.0,1.0
